POST_SignupRQ,12627,1381,1316,1487,1653,2502,1127,16392,0.000%,14.00437,17.16,9.79
TOTAL,12627,1381,1316,1487,1653,2502,1127,16392,0.000%,14.00437,17.16,9.79
