Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
POST_SignupRQ,12627,1381,1127,16392,578.07,0.000%,14.00437,17.16,9.79,1254.8
TOTAL,12627,1381,1127,16392,578.07,0.000%,14.00437,17.16,9.79,1254.8
